symbol,0.35,price,exp_return_3m,return,,return,purchased,,,price,return
VNO,0,63.96,6,0.06,0,0,0,,,,
VRSK,0,144.34,-8.77,-0.0877,0,0,0,,,,
VRSN,0,192.5,-6.95,-0.0695,0,0,0,,,,
VRTX,0,215.07,17.06,0.1706,0,0,0,,,,
VTR,0,58.46,-19.39,-0.1939,0,0,0,,,,
VZ,0,59.48,5.7,0.057,0,0,0,,,,
WAB,0,78.96,16.12,0.1612,0,0,0,,,,
WAT,0,217.71,4.91,0.0491,0,0,0,,,,
WBA,0,61.34,21.06,0.2106,0,0,0,,,,
WCG,0,318.5,17.97,0.1797,0,0,0,,,,
WDC,0,48.5,-13.69,-0.1369,0,0,0,,,,
WEC,0,88.2,-3.93,-0.0393,0,0,0,,,,
WELL,0,84.84,-4.19,-0.0419,0,0,0,,,,
WFC,0,53.54,19.83,0.1983,0,0,0,,,,
WHR,0,142.66,4,0.04,0,0,0,,,,
WLTW,0,190.15,-1.67,-0.0167,0,0,0,,,,
WM,0,112.57,-4.69,-0.0469,0,0,0,,,,
WMB,0,22.38,-4.89,-0.0489,0,0,0,,,,
WMT,0,119.13,6.32,0.0632,0,0,0,,,,
WRK,0,38.74,16.51,0.1651,0,0,0,,,,
WU,0,26.97,26.09,0.2609,0,0,0,,,,
WY,0,29.51,17.9,0.179,0,0,0,,,,
WYNN,0,117.55,3.1,0.031,0,0,0,,,,
XEC,0,45.98,13.53,0.1353,0,0,0,,,,
XEL,0,61.69,-1.14,-0.0114,0,0,0,,,,
XLNX,0,91.01,-13.41,-0.1341,0,0,0,,,,
XOM,0,68.03,-1.45,-0.0145,0,0,0,,,,
XRAY,0,56.63,6.59,0.0659,0,0,0,,,,
XRX,0,38.3,36.4,0.364,0,0,0,,,,
XYL,0,77.47,1.88,0.0188,0,0,0,,,,
YUM,0,98.12,-15.83,-0.1583,0,0,0,,,,
ZBH,0,142.57,3.35,0.0335,0,0,0,,,,
ZION,0,48.88,20.76,0.2076,0,0,0,,,,
ZTS,0,119.56,-5.15,-0.0515,0,0,0,,,,
,,,,,3861.11,1291.334957,13,,,,
