symbol,0.35,price,exp_return_3m,return,,return,purchased,,,price,return
CF,0,45.1,-6.12,-0.0612,0,0,0,,,,
CFG,0,38,17.65,0.1765,0,0,0,,,,
CHD,0,69.68,-10.94,-0.1094,0,0,0,,,,
CHRW,0,75.56,-10.23,-0.1023,0,0,0,,,,
CHTR,0,479.08,22.35,0.2235,0,0,0,,,,
CI,0,199.91,24.05,0.2405,0,0,0,,,,
CINF,0,107.93,-1.37,-0.0137,0,0,0,,,,
CL,0,67.21,-7.35,-0.0735,0,0,0,,,,
CLX,0,146.38,-7.93,-0.0793,0,0,0,,,,
CMA,0,69.29,13.8,0.138,0,0,0,,,,
CMCSA,0,44.22,0.63,0.0063,0,0,0,,,,
CME,0,206.64,-3.37,-0.0337,0,0,0,,,,
CMG,0,775.94,-5.39,-0.0539,0,0,0,,,,
CMI,0,180.62,23.53,0.2353,0,0,0,,,,
CMS,0,61.7,0.39,0.0039,0,0,0,,,,
CNC,0,59.46,27.76,0.2776,0,0,0,,,,
CNP,0,24.45,-12.15,-0.1215,0,0,0,,,,
COF,0,96.51,13.25,0.1325,0,0,0,,,,
COG,0,16.39,-2.5,-0.025,0,0,0,,,,
COO,0,304.47,-8.38,-0.0838,0,0,0,,,,
COP,0,59.36,12.62,0.1262,0,0,0,,,,
COST,0,300.57,10.11,0.1011,0,0,0,,,,
COTY,0,11.95,35.64,0.3564,0,0,0,,,,
CPB,0,48.28,12.07,0.1207,0,0,0,,,,
CPRI,0,35.19,27.18,0.2718,0,0,0,,,,
CPRT,0,84.92,12.05,0.1205,0,0,0,,,,
CRM,0,164.2,12.82,0.1282,0,0,0,,,,
CSCO,0,45.08,-5.95,-0.0595,0,0,0,,,,
CSX,0,69.56,7.36,0.0736,0,0,0,,,,
CTAS,0,259.46,-3.13,-0.0313,0,0,0,,,,
CTSH,0,63.51,3.13,0.0313,0,0,0,,,,
CTVA,0,24.98,-17.45,-0.1745,0,0,0,,,,
CTXS,0,112.92,22.89,0.2289,0,0,0,,,,
CVS,0,74.92,21.7,0.217,0,0,0,,,,
CVX,0,117.34,1.04,0.0104,0,0,0,,,,
CXO,0,72.03,-0.41,-0.0041,0,0,0,,,,
D,0,82.9,7.79,0.0779,0,0,0,,,,
DAL,0,55.67,-3.48,-0.0348,0,0,0,,,,
DD,0,65.05,-3.06,-0.0306,0,0,0,,,,
DE,0,172.07,13.13,0.1313,0,0,0,,,,
DFS,0,82.86,3.9,0.039,0,0,0,,,,
DG,0,160.95,17.3,0.173,0,0,0,,,,
DGX,0,104.88,3.39,0.0339,0,0,0,,,,
DHI,0,54.57,11.57,0.1157,0,0,0,,,,
DHR,0,142.96,2.06,0.0206,0,0,0,,,,
DIS,0,146.93,8.73,0.0873,0,0,0,,,,
DISCA,0,32.02,13.51,0.1351,0,0,0,,,,
DISCK,0,29.61,12.16,0.1216,0,0,0,,,,
DISH,0,35.48,10.39,0.1039,0,0,0,,,,
DLR,0,121.34,-1.42,-0.0142,0,0,0,,,,
DLTR,0,107.26,14.56,0.1456,0,0,0,,,,
DOV,0,108.57,18.92,0.1892,0,0,0,,,,
DOW,0,52.67,22.03,0.2203,0,0,0,,,,
DRE,0,35.19,6.77,0.0677,0,0,0,,,,
DRI,0,114.75,-3.47,-0.0347,0,0,0,,,,
DTE,0,124.1,-4.22,-0.0422,0,0,0,,,,
DUK,0,87.13,-4.44,-0.0444,0,0,0,,,,
DVA,0,72.5,29.67,0.2967,0,0,0,,,,
DVN,0,21.95,-6.04,-0.0604,0,0,0,,,,
DXC,0,35.89,6.69,0.0669,0,0,0,,,,
EA,0,98.12,5.85,0.0585,0,0,0,,,,
EBAY,0,34.86,-12.92,-0.1292,0,0,0,,,,
ECL,0,186.22,-9.86,-0.0986,0,0,0,,,,
ED,0,87.31,-0.51,-0.0051,0,0,0,,,,
EFX,0,139.9,-2,-0.02,0,0,0,,,,
EIX,0,70.92,-1.5,-0.015,0,0,0,,,,
EL,0,195.27,-3.43,-0.0343,0,0,0,,,,
EMN,0,76.87,17.84,0.1784,0,0,0,,,,
EMR,0,72.75,25.47,0.2547,0,0,0,,,,
EOG,0,72.06,-6.04,-0.0604,0,0,0,,,,
EQIX,0,568.76,3.98,0.0398,0,0,0,,,,
EQR,0,86.66,5.12,0.0512,0,0,0,,,,
ES,0,82.5,4.3,0.043,0,0,0,,,,
ESS,0,318.71,0.94,0.0094,0,0,0,,,,
ETFC,0,45.86,11.12,0.1112,0,0,0,,,,
ETN,0,89.82,14.92,0.1492,0,0,0,,,,
ETR,0,117.06,6.22,0.0622,0,0,0,,,,
EVRG,0,64.98,0.12,0.0012,0,0,0,,,,
EW,0,244.23,10.01,0.1001,0,0,0,,,,
EXC,0,45.36,0.33,0.0033,0,0,0,,,,
EXPD,0,75.48,7.14,0.0714,0,0,0,,,,
EXPE,0,94.31,-27.8,-0.278,0,0,0,,,,
EXR,0,106.97,-11.57,-0.1157,0,0,0,,,,
F,0,8.73,-2.57,-0.0257,0,0,0,,,,
FANG,0,75.29,-24.16,-0.2416,0,0,0,,,,
FAST,0,35.26,15.68,0.1568,0,0,0,,,,
FB,0,197.51,7.45,0.0745,0,0,0,,,,
